date,temperature_max,temperature_min,rainfall_mm,humidity,cloud_cover,weather_condition,crop_name,season,is_irrigated,crop_type,disease,pest
2023-01-01,20.8,9.8,0.0,48.3,76.8,Clear,Chili,Kharif,No,Vegetable,Leaf Spot,Scale Insects
2023-01-02,36.1,21.7,0.0,67.5,25.3,Thunderstorm,Coffee,Kharif,Yes,Commercial,Anthracnose,Armyworms
2023-01-02,40.0,31.0,0.0,68.9,36.8,Rainy,Apple,Rabi,Yes,Fruit,Downy Mildew,Cutworms
2023-01-02,32.4,18.3,0.0,80.3,27.5,Thunderstorm,Carrot,Rabi,Yes,Vegetable,Bacterial Blight,Whiteflies
2023-01-02,31.9,20.3,0.0,65.1,94.0,Rainy,Grapes,Rabi,Yes,Fruit,Leaf Spot,Mealybugs
2023-01-02,31.2,22.2,44.1,51.0,49.8,Partly Cloudy,Soybean,Kharif,No,Legume,Sheath Blight,None
2023-01-02,21.9,14.2,10.7,44.8,89.8,Clear,Carrot,Rabi,Yes,Vegetable,Leaf Spot,Scale Insects
2023-01-02,40.9,31.6,0.0,62.5,46.9,Cloudy,Grapes,Rabi,Yes,Fruit,Downy Mildew,Cutworms
2023-01-02,38.1,29.9,0.0,56.0,38.6,Clear,Mango,Kharif,Yes,Fruit,Anthracnose,Cutworms
2023-01-02,25.4,16.1,0.0,53.8,37.3,Cloudy,Sunflower,Kharif,No,Oilseed,None,None
2023-01-02,44.8,36.7,42.4,60.6,71.6,Cloudy,Soybean,Kharif,No,Legume,Sheath Blight,Scale Insects
2023-01-02,30.6,21.0,0.0,88.1,41.7,Rainy,Banana,Kharif,Yes,Fruit,Bacterial Blight,Whiteflies
2023-01-02,40.6,35.5,2.0,89.6,66.6,Thunderstorm,Cotton,Kharif,No,Commercial,Sigatoka,Thrips
2023-01-02,23.5,9.5,0.0,64.1,55.8,Rainy,Barley,Rabi,Yes,Cereal,None,None
2023-01-02,41.5,30.0,0.0,43.2,32.3,Clear,Rice,Kharif,Yes,Cereal,Anthracnose,Armyworms
2023-01-02,42.6,35.0,4.2,42.8,9.9,Thunderstorm,Sugarcane,Kharif,Yes,Commercial,None,None
2023-01-02,32.9,25.2,0.0,46.2,62.9,Thunderstorm,Grapes,Rabi,Yes,Fruit,Blister Blight,Mealybugs
2023-01-02,35.4,29.5,0.0,59.9,17.1,Clear,Peanut,Kharif,No,Legume,Anthracnose,Cutworms
2023-01-02,29.3,22.6,0.0,56.0,91.5,Rainy,Carrot,Rabi,Yes,Vegetable,Blister Blight,Scale Insects
2023-01-02,27.7,18.0,45.0,74.2,69.7,Rainy,Grapes,Rabi,Yes,Fruit,Sheath Blight,Mealybugs
2023-01-02,31.9,24.6,0.0,55.9,82.8,Partly Cloudy,Potato,Rabi,Yes,Vegetable,Leaf Spot,Scale Insects
2023-01-02,23.0,11.1,0.0,67.1,85.1,Thunderstorm,Rice,Kharif,Yes,Cereal,Leaf Spot,Mealybugs
2023-01-02,23.3,17.2,0.0,84.0,59.2,Rainy,Mango,Kharif,Yes,Fruit,Sigatoka,Whiteflies
2023-01-02,44.7,38.6,0.0,76.0,40.1,Clear,Banana,Kharif,Yes,Fruit,Bacterial Blight,Thrips
2023-01-02,32.7,21.0,30.3,48.2,88.3,Cloudy,Maize,Kharif,No,Cereal,Sheath Blight,Scale Insects
2023-01-02,23.0,13.8,0.0,54.3,5.7,Rainy,Mango,Kharif,Yes,Fruit,None,None
2023-01-02,22.3,10.3,0.6,46.1,40.1,Partly Cloudy,Chili,Kharif,No,Vegetable,None,None
2023-01-02,32.8,20.3,0.0,80.2,6.1,Partly Cloudy,Apple,Rabi,Yes,Fruit,Sigatoka,Aphids
2023-01-02,23.1,11.1,0.0,75.8,31.0,Cloudy,Banana,Kharif,Yes,Fruit,Sigatoka,Aphids
2023-01-02,40.8,29.1,0.0,67.1,72.5,Thunderstorm,Peanut,Kharif,No,Legume,Anthracnose,Cutworms
2023-01-02,20.2,11.3,0.0,44.7,79.7,Cloudy,Chili,Kharif,No,Vegetable,Blister Blight,Scale Insects
2023-01-03,36.7,24.6,0.0,71.6,37.4,Thunderstorm,Wheat,Rabi,Yes,Cereal,Downy Mildew,Cutworms
2023-01-03,26.7,13.8,21.6,59.3,89.8,Rainy,Tea,Kharif,Yes,Commercial,Blister Blight,Scale Insects
2023-01-03,43.3,37.9,0.0,40.6,49.5,Thunderstorm,Potato,Rabi,Yes,Vegetable,Anthracnose,Armyworms
2023-01-03,42.0,31.5,0.0,80.4,7.5,Thunderstorm,Coffee,Kharif,Yes,Commercial,Late Blight,Whiteflies
2023-01-03,32.6,24.3,0.0,77.2,67.7,Clear,Barley,Rabi,Yes,Cereal,Late Blight,Thrips
2023-01-03,30.7,18.2,0.0,40.2,6.9,Cloudy,Cotton,Kharif,No,Commercial,None,None
2023-01-03,22.2,9.0,0.0,57.3,37.6,Cloudy,Sugarcane,Kharif,Yes,Commercial,None,None
2023-01-03,35.6,25.3,0.0,73.2,29.2,Thunderstorm,Sunflower,Kharif,No,Oilseed,Downy Mildew,Armyworms
2023-01-03,42.4,33.2,0.0,86.3,79.3,Cloudy,Banana,Kharif,Yes,Fruit,Bacterial Blight,Aphids
2023-01-03,33.4,27.1,0.0,44.0,52.1,Clear,Onion,Rabi,Yes,Vegetable,None,None
2023-01-03,29.7,16.3,0.0,89.2,67.7,Cloudy,Grapes,Rabi,Yes,Fruit,Bacterial Blight,Aphids
2023-01-03,34.2,27.3,0.0,66.3,92.7,Clear,Carrot,Rabi,Yes,Vegetable,Blister Blight,Mealybugs
2023-01-03,35.1,25.3,28.3,52.6,59.6,Clear,Chili,Kharif,No,Vegetable,None,None
2023-01-03,37.1,23.2,44.5,69.1,10.5,Partly Cloudy,Coffee,Kharif,Yes,Commercial,Sheath Blight,None
2023-01-03,22.6,10.9,0.0,60.8,79.4,Clear,Barley,Rabi,Yes,Cereal,Leaf Spot,Scale Insects
2023-01-03,22.7,15.4,0.0,48.4,14.5,Rainy,Coffee,Kharif,Yes,Commercial,None,None
2023-01-03,29.0,21.4,23.0,62.0,16.7,Rainy,Onion,Rabi,Yes,Vegetable,None,None
2023-01-03,38.9,33.7,0.0,69.4,95.0,Partly Cloudy,Tea,Kharif,Yes,Commercial,Anthracnose,Armyworms
2023-01-03,41.8,27.5,0.0,44.1,10.6,Thunderstorm,Potato,Rabi,Yes,Vegetable,Anthracnose,Armyworms
2023-01-03,24.1,17.3,0.0,53.6,68.7,Rainy,Sunflower,Kharif,No,Oilseed,Leaf Spot,Mealybugs
2023-01-03,38.4,32.7,0.0,59.2,41.6,Partly Cloudy,Cotton,Kharif,No,Commercial,Downy Mildew,Cutworms
2023-01-03,25.7,12.4,0.0,61.3,60.5,Clear,Peanut,Kharif,No,Legume,Leaf Spot,Mealybugs
2023-01-03,40.4,28.5,20.2,83.0,58.1,Partly Cloudy,Carrot,Rabi,Yes,Vegetable,Bacterial Blight,Thrips
2023-01-03,38.5,25.6,0.0,81.1,69.0,Thunderstorm,Mango,Kharif,Yes,Fruit,Bacterial Blight,Thrips
2023-01-03,43.8,38.3,0.0,71.1,12.8,Rainy,Sunflower,Kharif,No,Oilseed,Anthracnose,Armyworms
2023-01-03,20.1,15.0,5.4,50.0,45.0,Partly Cloudy,Apple,Rabi,Yes,Fruit,None,None
2023-01-03,36.9,29.6,0.0,46.9,80.6,Partly Cloudy,Tea,Kharif,Yes,Commercial,Downy Mildew,Armyworms
2023-01-03,39.7,31.4,0.0,70.9,39.2,Thunderstorm,Mango,Kharif,Yes,Fruit,Downy Mildew,Cutworms
2023-01-03,36.1,29.1,0.0,65.3,97.9,Thunderstorm,Sunflower,Kharif,No,Oilseed,Downy Mildew,Armyworms
2023-01-03,30.9,16.9,0.0,61.6,20.2,Thunderstorm,Mango,Kharif,Yes,Fruit,None,None
2023-01-04,44.5,33.2,0.0,40.8,69.7,Thunderstorm,Rice,Kharif,Yes,Cereal,Downy Mildew,Armyworms
2023-01-04,41.2,28.0,0.0,71.1,51.7,Partly Cloudy,Soybean,Kharif,No,Legume,Downy Mildew,Armyworms
2023-01-04,34.5,28.2,0.0,58.5,33.2,Rainy,Apple,Rabi,Yes,Fruit,None,None
2023-01-04,35.3,29.1,0.0,51.9,16.5,Cloudy,Sugarcane,Kharif,Yes,Commercial,Anthracnose,Armyworms
2023-01-04,23.9,18.3,0.0,84.7,78.5,Clear,Coffee,Kharif,Yes,Commercial,Bacterial Blight,Thrips
2023-01-04,44.4,33.3,0.0,68.4,72.4,Partly Cloudy,Soybean,Kharif,No,Legume,Downy Mildew,Armyworms
2023-01-04,41.7,28.4,37.1,82.4,95.0,Cloudy,Rice,Kharif,Yes,Cereal,Bacterial Blight,Whiteflies
2023-01-04,41.4,34.5,17.7,50.6,19.4,Partly Cloudy,Coffee,Kharif,Yes,Commercial,None,None
2023-01-04,27.4,17.1,25.1,55.7,65.6,Clear,Potato,Rabi,Yes,Vegetable,Blister Blight,Mealybugs
2023-01-04,27.9,18.1,14.6,49.5,34.5,Clear,Tea,Kharif,Yes,Commercial,None,None
2023-01-04,33.7,19.0,0.0,53.1,92.1,Rainy,Chili,Kharif,No,Vegetable,Leaf Spot,Scale Insects
2023-01-04,36.7,23.1,0.0,64.4,21.6,Cloudy,Grapes,Rabi,Yes,Fruit,Anthracnose,Armyworms
2023-01-04,44.3,31.6,0.0,53.9,65.6,Clear,Carrot,Rabi,Yes,Vegetable,Downy Mildew,Cutworms
2023-01-04,37.7,26.0,20.7,82.7,40.3,Partly Cloudy,Rice,Kharif,Yes,Cereal,Sigatoka,Aphids
2023-01-04,32.7,22.7,13.3,82.0,43.4,Clear,Soybean,Kharif,No,Legume,Late Blight,Thrips
2023-01-04,44.9,36.3,15.7,51.6,2.0,Partly Cloudy,Coffee,Kharif,Yes,Commercial,None,None
2023-01-04,24.1,10.3,0.0,83.7,10.8,Partly Cloudy,Sugarcane,Kharif,Yes,Commercial,Bacterial Blight,Thrips
2023-01-04,33.8,26.7,0.0,84.4,26.7,Clear,Peanut,Kharif,No,Legume,Rust,Aphids
2023-01-04,41.6,29.0,0.0,85.1,66.4,Thunderstorm,Grapes,Rabi,Yes,Fruit,Late Blight,Aphids
2023-01-04,24.9,13.6,0.0,40.7,75.5,Partly Cloudy,Rice,Kharif,Yes,Cereal,Blister Blight,Scale Insects
2023-01-04,22.2,12.6,8.9,54.6,38.5,Cloudy,Chili,Kharif,No,Vegetable,None,None
2023-01-04,44.7,37.1,41.8,74.7,54.6,Cloudy,Tomato,Rabi,No,Vegetable,Root Rot,None
2023-01-04,21.4,10.7,0.0,49.1,33.6,Clear,Grapes,Rabi,Yes,Fruit,None,None
2023-01-04,35.9,29.6,35.3,63.7,60.3,Thunderstorm,Peanut,Kharif,No,Legume,Sheath Blight,Scale Insects
2023-01-04,38.0,30.6,2.8,46.2,99.4,Cloudy,Grapes,Rabi,Yes,Fruit,Leaf Spot,Mealybugs
2023-01-04,38.2,26.3,15.3,50.7,67.2,Clear,Sunflower,Kharif,No,Oilseed,Blister Blight,Scale Insects
2023-01-04,38.8,24.7,0.0,50.3,68.3,Partly Cloudy,Maize,Kharif,No,Cereal,Downy Mildew,Cutworms
2023-01-04,38.9,33.2,0.0,87.9,58.6,Thunderstorm,Tomato,Rabi,No,Vegetable,Rust,Whiteflies
2023-01-04,37.5,27.3,48.5,82.2,7.1,Thunderstorm,Grapes,Rabi,Yes,Fruit,Bacterial Blight,Thrips
2023-01-04,25.1,18.9,0.0,78.7,96.0,Partly Cloudy,Sugarcane,Kharif,Yes,Commercial,Sigatoka,Thrips
2023-01-05,33.9,24.4,0.0,61.0,99.7,Partly Cloudy,Cotton,Kharif,No,Commercial,Leaf Spot,Mealybugs
2023-01-05,23.7,11.2,0.0,85.7,75.1,Cloudy,Rice,Kharif,Yes,Cereal,Bacterial Blight,Whiteflies
2023-01-05,21.4,13.6,0.0,82.3,28.0,Clear,Wheat,Rabi,Yes,Cereal,Sigatoka,Aphids
2023-01-05,28.1,14.6,0.0,57.6,14.1,Partly Cloudy,Coffee,Kharif,Yes,Commercial,None,None
2023-01-05,23.1,17.4,0.0,43.8,59.6,Thunderstorm,Sugarcane,Kharif,Yes,Commercial,None,None
2023-01-05,32.0,25.4,0.0,72.6,65.9,Partly Cloudy,Chili,Kharif,No,Vegetable,Blister Blight,Scale Insects
2023-01-05,43.8,35.3,0.0,80.2,2.0,Clear,Wheat,Rabi,Yes,Cereal,Rust,Thrips
2023-01-05,25.1,17.8,0.0,61.0,96.3,Cloudy,Mango,Kharif,Yes,Fruit,Leaf Spot,Scale Insects
2023-01-05,34.0,28.4,0.0,49.3,14.6,Partly Cloudy,Chili,Kharif,No,Vegetable,None,None
2023-01-05,42.8,33.5,47.0,84.6,65.7,Cloudy,Barley,Rabi,Yes,Cereal,Rust,Thrips
2023-01-05,24.4,14.7,0.0,51.3,23.2,Partly Cloudy,Barley,Rabi,Yes,Cereal,None,None
2023-01-05,43.3,31.6,0.0,41.1,36.8,Cloudy,Sunflower,Kharif,No,Oilseed,Anthracnose,Cutworms
2023-01-05,36.8,26.4,0.0,74.9,49.9,Thunderstorm,Tomato,Rabi,No,Vegetable,Anthracnose,Armyworms
2023-01-05,26.3,21.0,12.5,87.2,94.0,Rainy,Coffee,Kharif,Yes,Commercial,Bacterial Blight,Thrips
2023-01-05,42.1,28.3,44.7,79.5,25.4,Rainy,Tomato,Rabi,No,Vegetable,Rust,Whiteflies
2023-01-05,34.5,24.7,0.0,61.4,66.5,Rainy,Soybean,Kharif,No,Legume,Blister Blight,Mealybugs
2023-01-05,31.8,17.0,26.8,78.5,0.9,Thunderstorm,Banana,Kharif,Yes,Fruit,Bacterial Blight,Thrips
2023-01-05,20.5,8.3,9.1,55.0,19.1,Thunderstorm,Onion,Rabi,Yes,Vegetable,None,None
2023-01-05,39.9,34.3,0.0,80.7,40.9,Thunderstorm,Carrot,Rabi,Yes,Vegetable,Late Blight,Thrips
2023-01-05,21.2,13.1,0.0,74.9,18.1,Thunderstorm,Coffee,Kharif,Yes,Commercial,None,None
2023-01-05,21.3,14.5,0.0,56.5,58.5,Rainy,Rice,Kharif,Yes,Cereal,None,None
2023-01-05,39.4,34.0,0.0,72.1,47.6,Clear,Maize,Kharif,No,Cereal,Anthracnose,Armyworms
2023-01-05,41.0,26.3,0.0,71.4,19.5,Clear,Tea,Kharif,Yes,Commercial,Downy Mildew,Armyworms
2023-01-05,31.6,16.7,20.8,61.8,83.1,Cloudy,Mango,Kharif,Yes,Fruit,Leaf Spot,Scale Insects
2023-01-05,21.1,9.9,8.7,85.8,13.0,Rainy,Soybean,Kharif,No,Legume,Rust,Aphids
2023-01-05,39.1,32.7,0.0,62.6,39.0,Thunderstorm,Sunflower,Kharif,No,Oilseed,Anthracnose,Cutworms
2023-01-05,40.6,29.7,0.0,88.4,43.6,Partly Cloudy,Potato,Rabi,Yes,Vegetable,Rust,Whiteflies
2023-01-05,28.1,16.2,0.0,60.9,41.2,Partly Cloudy,Chili,Kharif,No,Vegetable,None,None
2023-01-05,20.2,14.6,0.0,44.0,20.1,Thunderstorm,Apple,Rabi,Yes,Fruit,None,None
2023-01-05,20.2,11.0,22.4,40.4,84.6,Clear,Tea,Kharif,Yes,Commercial,Blister Blight,Scale Insects
2023-01-06,28.5,14.0,0.0,60.7,54.3,Thunderstorm,Tea,Kharif,Yes,Commercial,None,None
2023-01-06,36.3,28.4,33.5,82.6,82.1,Clear,Maize,Kharif,No,Cereal,Rust,Aphids
2023-01-06,32.6,19.7,0.0,70.5,91.2,Partly Cloudy,Soybean,Kharif,No,Legume,Leaf Spot,Scale Insects
2023-01-06,37.3,23.5,0.0,62.7,89.0,Cloudy,Soybean,Kharif,No,Legume,Downy Mildew,Cutworms
2023-01-06,33.9,21.5,0.0,47.1,2.5,Rainy,Barley,Rabi,Yes,Cereal,None,None
2023-01-06,44.7,35.1,0.0,68.0,53.8,Rainy,Cotton,Kharif,No,Commercial,Anthracnose,Armyworms
2023-01-06,37.6,31.9,0.0,42.4,62.5,Rainy,Carrot,Rabi,Yes,Vegetable,Anthracnose,Armyworms
2023-01-06,24.3,17.7,0.0,60.2,18.7,Cloudy,Onion,Rabi,Yes,Vegetable,None,None
2023-01-06,21.5,10.4,7.0,49.2,57.4,Clear,Grapes,Rabi,Yes,Fruit,None,None
2023-01-06,25.9,16.2,48.2,79.1,67.4,Clear,Carrot,Rabi,Yes,Vegetable,Sigatoka,Aphids
2023-01-06,29.4,14.9,27.7,84.5,51.3,Clear,Barley,Rabi,Yes,Cereal,Late Blight,Thrips
2023-01-06,27.8,14.0,0.0,64.0,96.2,Rainy,Soybean,Kharif,No,Legume,Blister Blight,Scale Insects
2023-01-06,30.2,22.1,0.0,63.4,73.1,Clear,Potato,Rabi,Yes,Vegetable,Blister Blight,Scale Insects
2023-01-06,23.6,18.5,0.0,81.3,84.2,Cloudy,Rice,Kharif,Yes,Cereal,Late Blight,Whiteflies
2023-01-06,29.3,14.8,0.0,54.6,84.0,Clear,Carrot,Rabi,Yes,Vegetable,Blister Blight,Scale Insects
2023-01-06,28.1,16.7,19.2,88.4,51.1,Thunderstorm,Soybean,Kharif,No,Legume,Sigatoka,Aphids
2023-01-06,33.7,23.0,37.1,42.4,58.7,Clear,Tea,Kharif,Yes,Commercial,Fusarium Wilt,None
2023-01-06,21.2,11.6,0.0,52.6,32.0,Clear,Chili,Kharif,No,Vegetable,None,None
2023-01-06,32.2,20.6,42.9,57.3,44.1,Clear,Mango,Kharif,Yes,Fruit,Fusarium Wilt,None
2023-01-06,26.3,12.1,0.0,80.5,1.7,Clear,Maize,Kharif,No,Cereal,Rust,Thrips
2023-01-06,34.2,21.1,16.2,78.5,19.4,Partly Cloudy,Grapes,Rabi,Yes,Fruit,Rust,Thrips
2023-01-06,42.8,28.1,0.0,55.1,80.2,Thunderstorm,Potato,Rabi,Yes,Vegetable,Downy Mildew,Armyworms
2023-01-06,24.9,19.8,0.0,70.5,40.4,Partly Cloudy,Grapes,Rabi,Yes,Fruit,None,None
2023-01-06,43.0,32.7,34.8,64.7,29.3,Clear,Rice,Kharif,Yes,Cereal,Sheath Blight,None
2023-01-06,25.1,13.5,0.0,43.6,65.4,Rainy,Grapes,Rabi,Yes,Fruit,Leaf Spot,Mealybugs
2023-01-06,37.0,25.5,21.5,47.6,63.6,Rainy,Banana,Kharif,Yes,Fruit,Leaf Spot,Mealybugs
2023-01-06,26.1,13.3,0.0,66.5,82.5,Clear,Tomato,Rabi,No,Vegetable,Blister Blight,Mealybugs
2023-01-06,35.7,29.5,0.0,72.2,98.8,Cloudy,Chili,Kharif,No,Vegetable,Anthracnose,Cutworms
2023-01-06,36.4,22.1,42.7,85.8,65.4,Partly Cloudy,Carrot,Rabi,Yes,Vegetable,Bacterial Blight,Aphids
2023-01-06,39.2,26.4,18.8,64.3,55.5,Cloudy,Tomato,Rabi,No,Vegetable,None,None
2023-01-07,30.1,23.5,41.7,68.7,66.5,Clear,Banana,Kharif,Yes,Fruit,Root Rot,Scale Insects
2023-01-07,42.1,29.8,0.0,87.2,50.7,Clear,Onion,Rabi,Yes,Vegetable,Late Blight,Thrips
2023-01-07,31.1,23.6,7.5,67.9,36.4,Partly Cloudy,Potato,Rabi,Yes,Vegetable,None,None
2023-01-07,41.5,31.9,0.0,84.4,97.9,Partly Cloudy,Grapes,Rabi,Yes,Fruit,Bacterial Blight,Aphids
2023-01-07,37.7,26.7,25.1,55.5,12.2,Rainy,Rice,Kharif,Yes,Cereal,None,None
2023-01-07,21.1,7.0,0.0,50.3,5.5,Rainy,Carrot,Rabi,Yes,Vegetable,None,None
2023-01-07,29.8,21.6,44.1,69.2,21.2,Cloudy,Soybean,Kharif,No,Legume,Sheath Blight,None
2023-01-07,21.7,11.9,32.5,61.9,6.9,Partly Cloudy,Coffee,Kharif,Yes,Commercial,Sheath Blight,None
2023-01-07,30.1,25.0,6.7,63.3,51.1,Partly Cloudy,Banana,Kharif,Yes,Fruit,None,None
2023-01-07,40.4,35.3,0.0,45.4,4.2,Clear,Peanut,Kharif,No,Legume,Anthracnose,Cutworms
2023-01-07,32.9,18.6,0.0,61.7,12.7,Partly Cloudy,Onion,Rabi,Yes,Vegetable,None,None
2023-01-07,30.5,25.1,0.0,72.1,24.8,Cloudy,Apple,Rabi,Yes,Fruit,None,None
2023-01-07,28.5,18.8,47.7,80.7,6.2,Clear,Mango,Kharif,Yes,Fruit,Late Blight,Aphids
2023-01-07,28.3,18.6,0.0,61.0,55.7,Cloudy,Rice,Kharif,Yes,Cereal,None,None
2023-01-07,40.8,26.7,0.0,49.7,24.5,Partly Cloudy,Chili,Kharif,No,Vegetable,Downy Mildew,Cutworms
2023-01-07,42.1,34.9,2.1,79.8,52.2,Partly Cloudy,Cotton,Kharif,No,Commercial,Late Blight,Whiteflies
2023-01-07,32.3,25.3,42.9,52.2,34.0,Cloudy,Peanut,Kharif,No,Legume,Sheath Blight,None
2023-01-07,35.6,23.6,0.0,47.5,1.3,Thunderstorm,Maize,Kharif,No,Cereal,Downy Mildew,Armyworms
2023-01-07,26.2,16.6,0.0,49.3,42.9,Thunderstorm,Cotton,Kharif,No,Commercial,None,None
2023-01-07,30.1,18.8,0.0,65.2,13.1,Clear,Barley,Rabi,Yes,Cereal,None,None
2023-01-07,22.1,12.0,39.9,87.2,7.5,Rainy,Grapes,Rabi,Yes,Fruit,Sigatoka,Aphids
2023-01-07,29.0,17.3,0.0,72.0,65.5,Cloudy,Cotton,Kharif,No,Commercial,Leaf Spot,Scale Insects
2023-01-07,25.7,14.8,0.0,62.5,20.6,Thunderstorm,Onion,Rabi,Yes,Vegetable,None,None
2023-01-07,39.4,32.7,0.0,89.2,1.7,Partly Cloudy,Sunflower,Kharif,No,Oilseed,Bacterial Blight,Aphids
2023-01-07,25.7,17.6,27.5,56.7,98.0,Clear,Sunflower,Kharif,No,Oilseed,Leaf Spot,Scale Insects
2023-01-07,20.4,15.1,8.7,77.0,35.5,Thunderstorm,Sugarcane,Kharif,Yes,Commercial,Rust,Whiteflies
2023-01-07,32.2,21.9,26.7,48.0,50.3,Partly Cloudy,Sunflower,Kharif,No,Oilseed,None,None
2023-01-07,29.6,17.1,0.0,66.8,97.4,Partly Cloudy,Sugarcane,Kharif,Yes,Commercial,Blister Blight,Mealybugs
2023-01-07,36.3,29.9,0.0,87.3,43.1,Rainy,Soybean,Kharif,No,Legume,Bacterial Blight,Whiteflies
2023-01-07,29.0,18.0,0.0,42.4,81.5,Rainy,Potato,Rabi,Yes,Vegetable,Leaf Spot,Scale Insects
2023-01-08,24.1,14.9,0.2,69.9,5.2,Thunderstorm,Peanut,Kharif,No,Legume,None,None
2023-01-08,39.2,32.4,0.0,73.7,44.6,Thunderstorm,Mango,Kharif,Yes,Fruit,Downy Mildew,Cutworms
2023-01-08,33.5,25.8,0.0,83.1,61.4,Rainy,Soybean,Kharif,No,Legume,Late Blight,Whiteflies
2023-01-08,33.6,25.2,0.0,63.9,16.0,Partly Cloudy,Tomato,Rabi,No,Vegetable,None,None
2023-01-08,43.7,35.3,0.0,89.9,1.2,Cloudy,Barley,Rabi,Yes,Cereal,Bacterial Blight,Aphids
2023-01-08,42.6,30.4,45.6,60.4,2.9,Cloudy,Carrot,Rabi,Yes,Vegetable,Root Rot,None
2023-01-08,23.2,8.7,0.0,48.3,38.7,Cloudy,Carrot,Rabi,Yes,Vegetable,None,None
2023-01-08,35.5,28.2,16.7,64.2,63.6,Clear,Chili,Kharif,No,Vegetable,Blister Blight,Mealybugs
2023-01-08,44.4,37.5,0.0,79.0,59.6,Cloudy,Coffee,Kharif,Yes,Commercial,Rust,Whiteflies
2023-01-08,28.2,17.4,41.3,73.2,16.1,Partly Cloudy,Wheat,Rabi,Yes,Cereal,Sheath Blight,None
2023-01-08,34.9,24.7,25.9,61.9,26.6,Clear,Barley,Rabi,Yes,Cereal,None,None
2023-01-08,27.6,15.7,5.5,43.3,8.8,Partly Cloudy,Onion,Rabi,Yes,Vegetable,None,None
